DATE,TOTAL
8-7-2017,500000000
8-7-2018,112846250
8-8-2014,193610317
8-8-2016,950000000
8-8-2017,49000000
8-8-2018,374000000
8-9-2016,64331069
8-9-2017,4600000000
8-9-2018,596600000
9-1-2015,311399980
9-1-2016,844289847
9-1-2017,2800000000
9-10-2014,99000000
9-10-2015,97200000
9-10-2018,2858701741
9-11-2014,234229426
9-11-2015,100000000
9-11-2017,103165374
9-11-2018,400000000
9-12-2014,5040000000
9-12-2016,165152609
9-12-2017,180000000
9-12-2018,194517924
9-13-2016,700000000
9-13-2017,676575190
9-13-2018,480601156
9-14-2015,131264061
9-14-2016,360448495
9-14-2017,110000000
9-14-2018,562478542
9-15-2014,423800000
9-15-2015,375804316
9-15-2016,248898142
9-15-2017,387037012
9-16-2014,938372859
9-16-2015,950000000
9-16-2016,700000000
9-17-2014,52236909
9-17-2015,425729000
9-17-2018,221379030
9-18-2014,811607999
9-18-2015,828255889
9-18-2017,205000000
9-18-2018,386917271
9-19-2014,146313578
9-19-2016,900000000
9-19-2017,111132813
9-19-2018,456000000
9-2-2014,150000000
9-2-2015,49966387
9-2-2016,275012731
9-20-2016,268000000
9-20-2017,466773281
9-20-2018,2460000000
9-21-2015,180000000
9-21-2016,395000000
9-21-2017,5071534074
9-21-2018,255421604
9-22-2014,99000000
9-22-2015,160238440
9-22-2016,339305395
9-22-2017,559011645
9-23-2014,249921506
9-23-2015,950000000
9-23-2016,378137998
9-24-2014,274800000
9-24-2015,390000000
9-24-2018,475000000
9-25-2014,48343250
9-25-2015,950000000
9-25-2017,119108407
9-25-2018,12100000000
9-26-2014,499144082
9-26-2016,383977504
9-26-2017,998000000
9-26-2018,1362089314
9-27-2016,255256728
9-27-2017,832413250
9-27-2018,9202568686
9-28-2015,950000000
9-28-2016,148725000
9-28-2017,979794011
9-28-2018,1051818540
9-29-2014,325000000
9-29-2015,882095707
9-29-2016,400000000
9-29-2017,570631234
9-3-2014,107899999
9-3-2015,128037522
9-30-2014,325000000
9-30-2015,3200000000
9-30-2016,860782114
9-4-2014,48459676
9-4-2015,428295155
9-4-2018,1808000000
9-5-2014,85000000
9-5-2017,1385497987
9-5-2018,787318898
9-6-2016,248800000
9-6-2017,499000000
9-6-2018,28000000000
9-7-2016,175900833
9-7-2017,47197150
9-7-2018,10000
9-8-2014,95500000
9-8-2015,450000000
9-8-2016,49210994
9-8-2017,99000000
9-9-2014,99000000
9-9-2015,260906926
9-9-2016,108118000
